text,created_date,,,,,,,,,,,,,,,,
I'm at San Francisco International Airport - @ flysfo in San Francisco, CA https://www.swarmapp.com/c/cb9wFYtXneS,,,,,,,,,,,,,,,,
Hey @ flySFO your LT parking is awful at $25 per day - FasTrack reader not working, credit card reader not working ... If you're trying to get people to not drive to the airport there are probably better ways than to strand us in a parking garage,,,,,,,,,,,,,,,,
See ya # sanfran you were a good little break (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/dlDPWeENQhO,,,,,,,,,,,,,,,,
Avoid roadway congestion and conveniently pick up your family or friend in the Short-term Parking Garage for free for stays of 30 minutes or less. To learn more visit http://flysfo.com/express . To learn more visit: https://www.flysfo.com/media/press-releases/sfo-makes-short-term-parking-garages-free-stays-30-minutes-or-less …pic.twitter.com/mb5qjhcAsN,"2017-12-30T23:50:10.000Z""""",,,,,,,,,,,,,,,,
heyyyyyyy (@San Francisco International Airport - @ flysfo in San Francisco, CA) https://www.swarmapp.com/c/h0KDCv9lL5a,,,,,,,,,,,,,,,,
@ VirginAmerica @ AlaskaAir merge is AWFUL. Worst ticketing experience ever. 30 pssgrs and only 4 of them had assigned seats! Website is still selling those seats. Spent 7 hours w/ 8 reps trying to figure this out this wk. What a mess when we get to @ flySFO.,"2017-12-30T22:29:42.000Z""""",,,,,,,,,,,,,,,,
Probably because they don't use @ DandelionChoco haha.,"2017-12-30T22:09:40.000Z""""",,,,,,,,,,,,,,,,
oddly the only flavor I am not a@fan of is chocolate - but the rest are divine indulgences,"2017-12-30T22:03:00.000Z""""",,,,,,,,,,,,,,,,
My first trip to Canada my friend introduced them to me because she always got them before school & then I bothered her every morning to get some.,"2017-12-30T21:58:47.000Z""""",,,,,,,,,,,,,,,,
omg they are so so so good especially when traveling at 120 through the snow,"2017-12-30T21:56:54.000Z""""",,,,,,,,,,,,,,,,
Timbits and ice caps!,"2017-12-30T21:56:03.000Z""""",,,,,,,,,,,,,,,,
Thanks girl, see you soon!,,,,,,,,,,,,,,,,
How fun!! Have a good trip! # travel # California,"2017-12-30T21:50:12.000Z""""",,,,,,,,,,,,,,,,
Visibility. And that the active runways are parallel and close to each other.,"2017-12-30T21:34:31.000Z""""",,,,,,,,,,,,,,,,
I can fly out of @ JFKairport like this but everyday @ flySFO has delays due to fog... does the fog affect the radars? Is it an air pressure thing? Or just visibility? pic.twitter.com/MbI24pthfA – bei John F. Kennedy International Airport (JFK),"2017-12-30T21:14:17.000Z""""",,,,,,,,,,,,,,,,
